model,params,score
Agglomerative,"k=2, linkage=average",0.5612512419917494
Agglomerative,"k=2, linkage=ward",0.4386992376386601
Agglomerative,"k=2, linkage=single",0.4386992376386601
Agglomerative,"k=3, linkage=single",0.4376983469837058
Agglomerative,"k=3, linkage=average",0.43702456018192354
Agglomerative,"k=4, linkage=single",0.43482782408725484
Agglomerative,"k=4, linkage=average",0.43153019848030033
Agglomerative,"k=5, linkage=average",0.42841424110379533
Agglomerative,"k=5, linkage=single",0.3827939886800811
Agglomerative,"k=6, linkage=single",0.3792337028805526
Agglomerative,"k=7, linkage=single",0.375241768131532
Agglomerative,"k=6, linkage=average",0.2984583249169417
Agglomerative,"k=2, linkage=complete",0.2106114494728406
Agglomerative,"k=7, linkage=average",0.1965016096825285
Agglomerative,"k=3, linkage=ward",0.12664445577922162
Agglomerative,"k=4, linkage=ward",0.1095456773787094
Agglomerative,"k=5, linkage=ward",0.09069209255031625
Agglomerative,"k=4, linkage=complete",0.07800735933712234
Agglomerative,"k=6, linkage=ward",0.07258696621732692
Agglomerative,"k=3, linkage=complete",0.06543178111965282
Agglomerative,"k=7, linkage=ward",0.06377004130328871
Agglomerative,"k=5, linkage=complete",0.0445790715417851
Agglomerative,"k=6, linkage=complete",0.03449285182415649
Agglomerative,"k=7, linkage=complete",0.024965982154832884
