params,scoring,score
"k=3, init=random, n_init=10, algo=elkan",davies_bouldin_score,-2.335272902818098
"k=3, init=random, n_init=10, algo=lloyd",davies_bouldin_score,-2.335272902818098
"k=2, init=k-means++, n_init=10, algo=lloyd",davies_bouldin_score,-2.2100788976809493
"k=2, init=k-means++, n_init=10, algo=elkan",davies_bouldin_score,-2.2100788976809493
"k=2, init=k-means++, n_init=20, algo=lloyd",davies_bouldin_score,-2.2099821275417444
"k=2, init=k-means++, n_init=20, algo=elkan",davies_bouldin_score,-2.2099821275417444
"k=2, init=random, n_init=20, algo=lloyd",davies_bouldin_score,-2.209813113693433
"k=2, init=random, n_init=10, algo=elkan",davies_bouldin_score,-2.209813113693433
"k=2, init=random, n_init=20, algo=elkan",davies_bouldin_score,-2.209813113693433
"k=2, init=random, n_init=10, algo=lloyd",davies_bouldin_score,-2.209813113693433
"k=4, init=k-means++, n_init=10, algo=elkan",davies_bouldin_score,-1.9419373215020235
"k=4, init=k-means++, n_init=10, algo=lloyd",davies_bouldin_score,-1.9419373215020235
"k=4, init=random, n_init=10, algo=lloyd",davies_bouldin_score,-1.9411015094431043
"k=4, init=random, n_init=10, algo=elkan",davies_bouldin_score,-1.9411015094431043
"k=5, init=random, n_init=20, algo=elkan",davies_bouldin_score,-1.9355685228517436
"k=5, init=random, n_init=20, algo=lloyd",davies_bouldin_score,-1.9355685228517436
"k=5, init=random, n_init=10, algo=elkan",davies_bouldin_score,-1.929363533782984
"k=5, init=random, n_init=10, algo=lloyd",davies_bouldin_score,-1.929363533782984
"k=5, init=k-means++, n_init=10, algo=lloyd",davies_bouldin_score,-1.9289086633285304
"k=5, init=k-means++, n_init=20, algo=lloyd",davies_bouldin_score,-1.9289086633285304
"k=5, init=k-means++, n_init=10, algo=elkan",davies_bouldin_score,-1.9289086633285304
"k=5, init=k-means++, n_init=20, algo=elkan",davies_bouldin_score,-1.9289086633285304
"k=4, init=random, n_init=20, algo=elkan",davies_bouldin_score,-1.9287936492710207
"k=4, init=random, n_init=20, algo=lloyd",davies_bouldin_score,-1.9287936492710207
"k=6, init=random, n_init=20, algo=lloyd",davies_bouldin_score,-1.909151365203462
"k=6, init=random, n_init=10, algo=elkan",davies_bouldin_score,-1.909151365203462
"k=6, init=random, n_init=10, algo=lloyd",davies_bouldin_score,-1.909151365203462
"k=6, init=random, n_init=20, algo=elkan",davies_bouldin_score,-1.909151365203462
"k=6, init=k-means++, n_init=10, algo=elkan",davies_bouldin_score,-1.9079386286797717
"k=6, init=k-means++, n_init=10, algo=lloyd",davies_bouldin_score,-1.9079386286797717
"k=6, init=k-means++, n_init=20, algo=elkan",davies_bouldin_score,-1.9078309580544737
"k=6, init=k-means++, n_init=20, algo=lloyd",davies_bouldin_score,-1.9078309580544737
"k=4, init=k-means++, n_init=20, algo=lloyd",davies_bouldin_score,-1.9024451341595818
"k=4, init=k-means++, n_init=20, algo=elkan",davies_bouldin_score,-1.9024451341595818
"k=7, init=random, n_init=10, algo=elkan",davies_bouldin_score,-1.823718077316246
"k=7, init=random, n_init=10, algo=lloyd",davies_bouldin_score,-1.823718077316246
"k=7, init=random, n_init=20, algo=elkan",davies_bouldin_score,-1.8231486223399376
"k=7, init=random, n_init=20, algo=lloyd",davies_bouldin_score,-1.8231486223399376
"k=7, init=k-means++, n_init=10, algo=elkan",davies_bouldin_score,-1.8215590728689002
"k=7, init=k-means++, n_init=10, algo=lloyd",davies_bouldin_score,-1.8215590728689002
"k=7, init=k-means++, n_init=20, algo=lloyd",davies_bouldin_score,-1.8191152369000225
"k=7, init=k-means++, n_init=20, algo=elkan",davies_bouldin_score,-1.8191152369000225
"k=3, init=random, n_init=20, algo=lloyd",davies_bouldin_score,-1.7271696437019657
"k=3, init=random, n_init=20, algo=elkan",davies_bouldin_score,-1.7271696437019657
"k=3, init=k-means++, n_init=20, algo=elkan",davies_bouldin_score,-1.7269489879160418
"k=3, init=k-means++, n_init=20, algo=lloyd",davies_bouldin_score,-1.7269489879160418
"k=3, init=k-means++, n_init=10, algo=elkan",davies_bouldin_score,-1.7269489879160418
"k=3, init=k-means++, n_init=10, algo=lloyd",davies_bouldin_score,-1.7269489879160418
"k=3, init=k-means++, n_init=20, algo=elkan",silhouette,0.17064407756342434
"k=3, init=k-means++, n_init=20, algo=lloyd",silhouette,0.17064407756342434
"k=3, init=k-means++, n_init=10, algo=lloyd",silhouette,0.17064407756342434
"k=3, init=k-means++, n_init=10, algo=elkan",silhouette,0.17064407756342434
"k=3, init=random, n_init=20, algo=lloyd",silhouette,0.17059011141130787
"k=3, init=random, n_init=20, algo=elkan",silhouette,0.17059011141130787
"k=2, init=random, n_init=20, algo=lloyd",silhouette,0.1525311149771947
"k=2, init=random, n_init=10, algo=elkan",silhouette,0.1525311149771947
"k=2, init=random, n_init=20, algo=elkan",silhouette,0.1525311149771947
"k=2, init=random, n_init=10, algo=lloyd",silhouette,0.1525311149771947
"k=2, init=k-means++, n_init=20, algo=lloyd",silhouette,0.15244592771275334
"k=2, init=k-means++, n_init=20, algo=elkan",silhouette,0.15244592771275334
"k=2, init=k-means++, n_init=10, algo=lloyd",silhouette,0.15241427564344884
"k=2, init=k-means++, n_init=10, algo=elkan",silhouette,0.15241427564344884
"k=4, init=random, n_init=20, algo=elkan",silhouette,0.1408633504849156
"k=4, init=random, n_init=20, algo=lloyd",silhouette,0.1408633504849156
"k=4, init=k-means++, n_init=10, algo=lloyd",silhouette,0.1394325212990016
"k=4, init=k-means++, n_init=10, algo=elkan",silhouette,0.1394325212990016
"k=4, init=random, n_init=10, algo=lloyd",silhouette,0.13859170813395366
"k=4, init=random, n_init=10, algo=elkan",silhouette,0.13859170813395366
"k=4, init=k-means++, n_init=20, algo=elkan",silhouette,0.12905449030999905
"k=4, init=k-means++, n_init=20, algo=lloyd",silhouette,0.12905449030999905
"k=5, init=random, n_init=10, algo=lloyd",silhouette,0.12664584073305607
"k=5, init=random, n_init=10, algo=elkan",silhouette,0.12664584073305607
"k=5, init=k-means++, n_init=20, algo=lloyd",silhouette,0.12656688325906854
"k=5, init=k-means++, n_init=10, algo=lloyd",silhouette,0.12656688325906854
"k=5, init=k-means++, n_init=20, algo=elkan",silhouette,0.12656688325906854
"k=5, init=k-means++, n_init=10, algo=elkan",silhouette,0.12656688325906854
"k=5, init=random, n_init=20, algo=lloyd",silhouette,0.12653608516762083
"k=5, init=random, n_init=20, algo=elkan",silhouette,0.12653608516762083
"k=6, init=random, n_init=10, algo=elkan",silhouette,0.12281870555944191
"k=6, init=random, n_init=10, algo=lloyd",silhouette,0.12281870555944191
"k=6, init=random, n_init=20, algo=lloyd",silhouette,0.12281870555944191
"k=6, init=random, n_init=20, algo=elkan",silhouette,0.12281870555944191
"k=6, init=k-means++, n_init=20, algo=lloyd",silhouette,0.12274557877720578
"k=6, init=k-means++, n_init=20, algo=elkan",silhouette,0.12274557877720578
"k=6, init=k-means++, n_init=10, algo=elkan",silhouette,0.12271991378813135
"k=6, init=k-means++, n_init=10, algo=lloyd",silhouette,0.12271991378813135
"k=7, init=random, n_init=10, algo=elkan",silhouette,0.12012375110120711
"k=7, init=random, n_init=10, algo=lloyd",silhouette,0.12012375110120711
"k=7, init=random, n_init=20, algo=lloyd",silhouette,0.12009951116249652
"k=7, init=random, n_init=20, algo=elkan",silhouette,0.12009951116249652
"k=7, init=k-means++, n_init=20, algo=elkan",silhouette,0.12001525241890436
"k=7, init=k-means++, n_init=20, algo=lloyd",silhouette,0.12001525241890436
"k=7, init=k-means++, n_init=10, algo=lloyd",silhouette,0.11991105083076131
"k=7, init=k-means++, n_init=10, algo=elkan",silhouette,0.11991105083076131
"k=3, init=random, n_init=10, algo=elkan",silhouette,0.1093199843169298
"k=3, init=random, n_init=10, algo=lloyd",silhouette,0.1093199843169298
